year,stcd,inc,dv,dvp,fr,redist,dpres,incwin,inc3,decade,ptynow,cprescat,cexpx,split,state,midterm,preswin,south,iexpx
1946,3503,1,48,52.599998,1,0,,0,1,40,1,0,,1,35,0,,0,
1946,3504,0,40.799999,38.799999,0,0,,1,-1,40,-1,0,,1,35,0,,0,
1946,3505,0,39.700001,31.9,0,0,,1,-1,40,-1,0,,1,35,0,,0,
1946,3506,0,45.200001,48.200001,0,0,,1,-1,40,-1,0,,1,35,0,,0,
1946,3507,0,32,38.200001,0,0,,1,-1,40,-1,0,,1,35,0,,0,
1946,3508,0,36,40.200001,0,0,,1,-1,40,-1,0,,1,35,0,,0,
1946,3509,0,49.900002,48.400002,0,0,,1,-1,40,-1,0,,1,35,0,,0,
1946,3510,0,33.400002,35.599998,0,0,,1,-1,40,-1,0,,1,35,0,,0,
1946,3511,0,39.400002,46.400002,0,0,,1,-1,40,-1,0,,1,35,0,,0,
1946,3512,0,38,45.700001,0,0,,1,-1,40,-1,0,,1,35,0,,0,
1946,3513,0,27.9,,0,0,,1,-1,40,-1,0,,1,35,0,,0,
1946,3514,1,53.599998,50.599998,1,0,,1,1,40,1,0,,1,35,0,,0,
1946,3515,0,46.799999,40,0,0,,1,-1,40,-1,0,,1,35,0,,0,
1946,3516,1,44.200001,53.099998,1,0,,0,1,40,1,0,,1,35,0,,0,
1946,3517,0,34.700001,37.200001,0,0,,1,-1,40,-1,0,,1,35,0,,0,
1946,3518,0,41.200001,48.900002,0,0,,1,-1,40,-1,0,,1,35,0,,0,
1946,3519,1,59.799999,63.400002,0,0,,1,1,40,1,0,,1,35,0,,0,
1946,3520,1,67,75.800003,0,0,,1,1,40,1,0,,1,35,0,,0,
1946,3521,1,64,77.699997,0,0,,1,1,40,1,0,,1,35,0,,0,
1946,3522,0,28.299999,42.599998,0,0,,1,-1,40,-1,0,,1,35,0,,0,
1946,3523,0,40.5,46.900002,0,0,,1,-1,40,-1,0,,1,35,0,,0,
1946,3601,0,45.5,48.900002,1,0,,1,-1,40,-1,0,,1,36,0,,0,
1946,3602,1,63.099998,58,1,0,,1,1,40,1,0,,1,36,0,,0,
1946,3603,2,85,76.199997,9,0,,,0,40,1,,,1,36,0,,0,
1946,3604,2,64.400002,61.700001,9,0,,,0,40,1,,,1,36,0,,0,
1946,3605,1,52,62.900002,0,0,,1,1,40,1,0,,1,36,0,,0,
1946,3606,2,65.699997,60,9,0,,,0,40,1,,,1,36,0,,0,
1946,3607,2,78.699997,70.800003,9,0,,,0,40,1,,,1,36,0,,0,
